top - 19:19:16 up 12:02,  1 user,  load average: 1.30, 0.55, 0.28
Tasks: 128 total,   1 running, 127 sleeping,   0 stopped,   0 zombie
%Cpu(s): 59.1 us, 13.6 sy,  0.0 ni,  0.0 id, 27.3 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   1967.8 total,    307.0 free,    608.5 used,   1222.9 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   1359.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    926 root      20   0 1003088   7608   4096 S   0.0   0.4   0:19.15 beget-a+
    932 root      20   0  109644  23040  13696 S   0.0   1.1   0:00.13 unatten+
    941 root      20   0    6824   2688   2560 S   0.0   0.1   0:00.53 cron
    944 root      20   0   12020   7936   6912 S   0.0   0.4   0:02.11 sshd
    954 root      20   0    5720   2176   2048 S   0.0   0.1   0:00.02 agetty
    960 root      20   0    6104   1920   1792 S   0.0   0.1   0:00.03 agetty
   1376 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3682 root      20   0   15568   9400   6912 S   0.0   0.5   0:15.96 sshd
   3685 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   3687 root      20   0   20084  11136   9344 S   0.0   0.6   0:00.19 systemd
   3689 root      20   0   21152   3504   1792 S   0.0   0.2   0:00.00 (sd-pam)
   3694 root      -2   0       0      0      0 S   0.0   0.0   0:00.00 psimon
   3800 root      20   0    7472   3840   3584 S   0.0   0.2   0:00.00 bash
   3806 root      20   0    2800   1920   1792 S   0.0   0.1   0:00.05 sh
   3855 root      20   0    2800   1792   1792 S   0.0   0.1   0:00.00 sh
   3859 root      20   0   11.3g 110996  46848 S   0.0   5.5   0:45.81 node
   3913 root      20   0    2800   1792   1792 S   0.0   0.1   0:00.00 sh
   4002 root      20   0    2800   1664   1664 S   0.0   0.1   0:00.00 sh
   4049 root      20   0    7736   4480   3840 S   0.0   0.2   0:00.35 bash
   4364 root      20   0  995308  55120  40832 S   0.0   2.7   0:03.99 node
   6419 root      20   0    7736   4352   3712 S   0.0   0.2   0:00.04 bash
  10159 root      20   0 1008360  67504  41216 S   0.0   3.4   0:14.14 node
  10382 root      20   0       0      0      0 I   0.0   0.0   0:01.51 kworker+
  11689 root      20   0       0      0      0 I   0.0   0.0   0:00.27 kworker+
  12040 root      20   0       0      0      0 I   0.0   0.0   0:00.31 kworker+
  12066 root      20   0       0      0      0 I   0.0   0.0   0:00.71 kworker+
  12404 root      20   0       0      0      0 I   0.0   0.0   0:00.09 kworker+
  13426 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  13439 root      20   0       0      0      0 I   0.0   0.0   0:00.18 kworker+
  13516 root      20   0       0      0      0 I   0.0   0.0   0:00.24 kworker+
  13610 root      20   0       0      0      0 I   0.0   0.0   0:00.06 kworker+
  13698 root      20   0       0      0      0 I   0.0   0.0   0:00.11 kworker+
  13703 root      20   0       0      0      0 I   0.0   0.0   0:00.08 kworker+
  14174 root      20   0    5684   1920   1920 S   0.0   0.1   0:00.00 sleep
  14214 root      20   0    7736   2704   1920 S   0.0   0.1   0:00.00 bash
  14513 root      20   0  474608  38400  33408 S   0.0   1.9   0:00.17 fwupd
  14514 root      20   0    7736   2972   2176 S   0.0   0.1   0:00.01 bash
  14525 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+

top - 19:19:22 up 12:02,  1 user,  load average: 1.25, 0.57, 0.29
Tasks: 127 total,   1 running, 126 sleeping,   0 stopped,   0 zombie
%Cpu(s):  2.0 us,  2.5 sy,  0.0 ni, 83.4 id, 11.7 wa,  0.0 hi,  0.2 si,  0.2 st 
MiB Mem :   1967.8 total,    304.9 free,    610.6 used,   1222.9 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   1357.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   3948 root      20   0   11.3g 137956  49024 S   2.6   6.8   2:00.63 node
   3682 root      20   0   15568   9400   6912 S   0.7   0.5   0:15.98 sshd
   3898 root      20   0   11.3g  77836  44160 S   0.7   3.9   0:38.50 node
    838 root      20   0  333372  18304  15872 S   0.3   0.9   0:02.47 Network+
   3826 root      20   0   42596  26676  12032 S   0.3   1.3   0:29.89 code-f1+
   3859 root      20   0   11.3g 110996  46848 S   0.3   5.5   0:45.82 node
  14655 root      20   0   11896   5760   3712 R   0.3   0.3   0:00.04 top
      1 root      20   0   22404  13488   9392 S   0.0   0.7   0:07.78 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.06 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      9 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     11 root      20   0       0      0      0 I   0.0   0.0   0:00.72 kworker+
     12 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     14 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     15 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     16 root      20   0       0      0      0 S   0.0   0.0   0:00.30 ksoftir+
     17 root      20   0       0      0      0 I   0.0   0.0   0:01.88 rcu_pre+
     18 root      rt   0       0      0      0 S   0.0   0.0   0:00.47 migrati+
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      rt   0       0      0      0 S   0.0   0.0   0:00.59 migrati+
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.42 ksoftir+
     26 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     29 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     32 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.26 khungta+
     34 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     35 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     37 root      20   0       0      0      0 S   0.0   0.0   0:02.86 kcompac+
     38 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     40 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     41 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     42 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
