top - 19:48:57 up 12:31,  1 user,  load average: 0.52, 0.52, 0.30
Tasks: 127 total,   1 running, 126 sleeping,   0 stopped,   0 zombie
%Cpu(s):  4.8 us,  9.5 sy,  0.0 ni, 38.1 id, 47.6 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   1967.8 total,    278.5 free,    634.5 used,   1225.4 buff/cache     
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   1333.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   3826 root      20   0   42600  26676  12032 S   0.0   1.3   0:34.22 code-f1+
   3855 root      20   0    2800   1792   1792 S   0.0   0.1   0:00.00 sh
   3859 root      20   0   11.3g 110420  46848 S   0.0   5.5   0:49.88 node
   3898 root      20   0   11.3g  77688  44160 S   0.0   3.9   0:42.72 node
   3913 root      20   0    2800   1792   1792 S   0.0   0.1   0:00.00 sh
   3948 root      20   0   11.3g 142200  49024 S   0.0   7.1   2:18.51 node
   4002 root      20   0    2800   1664   1664 S   0.0   0.1   0:00.00 sh
   4049 root      20   0    7736   4480   3840 S   0.0   0.2   0:00.36 bash
   4364 root      20   0  995308  55100  40832 S   0.0   2.7   0:04.32 node
   6419 root      20   0    7736   4352   3712 S   0.0   0.2   0:00.04 bash
  10159 root      20   0 1017412  69328  41216 S   0.0   3.4   0:17.23 node
  10382 root      20   0       0      0      0 I   0.0   0.0   0:02.12 kworker+
  12404 root      20   0       0      0      0 I   0.0   0.0   0:00.22 kworker+
  13516 root      20   0       0      0      0 I   0.0   0.0   0:00.86 kworker+
  13610 root      20   0       0      0      0 I   0.0   0.0   0:00.20 kworker+
  14525 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  14728 root      20   0       0      0      0 I   0.0   0.0   0:00.07 kworker+
  14732 root      20   0       0      0      0 I   0.0   0.0   0:00.24 kworker+
  14838 root      20   0       0      0      0 I   0.0   0.0   0:00.16 kworker+
  14888 root      20   0       0      0      0 I   0.0   0.0   0:00.05 kworker+
  14928 root      20   0       0      0      0 I   0.0   0.0   0:00.13 kworker+
  15182 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker+
  15282 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
  15445 root      20   0    5684   1920   1920 S   0.0   0.1   0:00.00 sleep
  15731 root      20   0    7736   2708   1920 S   0.0   0.1   0:00.00 bash
  15732 root      20   0    7736   2980   2176 S   0.0   0.1   0:00.00 bash

top - 19:49:00 up 12:31,  1 user,  load average: 0.52, 0.52, 0.30
Tasks: 127 total,   2 running, 125 sleeping,   0 stopped,   0 zombie
